Absolute Time Status	N/A			Absolute Time Status	N/A			Absolute Time Status	N/A			
Absolute Time Source	PC			Absolute Time Source	PC			Absolute Time Source	PC			
Absolute Time	2018-11-22 07:09:34 ms 446.380			Absolute Time	2018-11-22 07:09:34 ms 446.380			Absolute Time	2018-11-22 07:09:34 ms 446.380			
PhysicalChannelId	Input11			PhysicalChannelId	Input10			PhysicalChannelId	Input9			
Channel group	Group 1			Channel group	Group 1			Channel group	Group 1			
Channelgroup	Vibration			Channelgroup	Vibration			Channelgroup	Vibration			
Actual sensitivity	0.01023 V/g			Actual sensitivity	0.01009 V/g			Actual sensitivity	0.01027 V/g			
Cylinder offset	0 бу			Cylinder offset	0 бу			Cylinder offset	0 бу			
User comment				User comment				User comment				
User channel id				User channel id				User channel id				
Channel id	13			Channel id	12			Channel id	11			
Channel name	C11			Channel name	C10			Channel name	C9			
DOF id	Point11:None			DOF id	Point10:None			DOF id	Point9:None			
Point direction sign				Point direction sign				Point direction sign				
Point direction absolute	None			Point direction absolute	None			Point direction absolute	None			
Point direction	None			Point direction	None			Point direction	None			
Point id node	Point11			Point id node	Point10			Point id node	Point9			
Point id component				Point id component				Point id component				
Point id	Point11			Point id	Point10			Point id	Point9			
Zero compensation	0 g			Zero compensation	0 g			Zero compensation	0 g			
Lower Limit EU	-977.517 g			Lower Limit EU	-991.08 g			Lower Limit EU	-973.71 g			
Upper Limit EU	977.517 g			Upper Limit EU	991.08 g			Upper Limit EU	973.71 g			
Function class	Time			Function class	Time			Function class	Time			
Weighting	Linear			Weighting	Linear			Weighting	Linear			
Modified	Thu Nov 22 2018 15:09:36			Modified	Thu Nov 22 2018 15:09:36			Modified	Thu Nov 22 2018 15:09:36			
Created	Thu Nov 22 2018 15:09:36			Created	Thu Nov 22 2018 15:09:36			Created	Thu Nov 22 2018 15:09:36			
Span	800 Hz			Span	800 Hz			Span	800 Hz			
Sample frequency	2048 Hz			Sample frequency	2048 Hz			Sample frequency	2048 Hz			
X axis increment	0.000488281 s			X axis increment	0.000488281 s			X axis increment	0.000488281 s			
X axis	8.63671e-005-6.00009 s			X axis	8.63671e-005-6.00009 s			X axis	8.63671e-005-6.00009 s			
X axis unit	s			X axis unit	s			X axis unit	s			
Number of lines	12288			Number of lines	12288			Number of lines	12288			
Value type	Real			Value type	Real			Value type	Real			
Range	0.27612 g			Range	0.151348 g			Range	0.153331 g			
Max value	0.145697 g			Max value	0.0767023 g			Max value	0.0858177 g			
Min value	-0.130423 g			Min value	-0.0746456 g			Min value	-0.0675131 g			
Y axis unit	g			Y axis unit	g			Y axis unit	g			
8.636709892e-005	1.372246915e-002			8.636709892e-005	6.170055439e-003			8.636709892e-005	1.901777020e-003			
5.746483489e-004	-5.083279875e-002			5.746483489e-004	9.557536856e-003			5.746483489e-004	-7.250524890e-003			
1.062929599e-003	-8.030627597e-002			1.062929599e-003	3.508462896e-003			1.062929599e-003	-1.806688169e-002			
1.551210849e-003	-6.968627810e-002			1.551210849e-003	-3.992388813e-003			1.551210849e-003	-1.687827106e-002			
2.039492099e-003	-2.708696084e-002			2.039492099e-003	8.105759106e-003			2.039492099e-003	-2.519854552e-002			
2.527773349e-003	3.376920668e-002			2.527773349e-003	4.597296209e-003			2.527773349e-003	3.565831913e-004			
3.016054599e-003	1.038134622e-002			3.016054599e-003	-8.589685022e-003			3.016054599e-003	2.852665531e-003			
3.504335849e-003	-5.703774132e-002			3.504335849e-003	-4.234351772e-003			3.504335849e-003	-1.747257638e-002			
3.992617099e-003	-8.949436400e-002			3.992617099e-003	-3.266499938e-003			3.992617099e-003	-2.400993488e-002			
4.480898349e-003	-8.615324108e-002			4.480898349e-003	-8.105759106e-003			4.480898349e-003	-3.969959530e-002			
4.969179599e-003	-1.181325605e-002			4.969179599e-003	-1.209814792e-002			4.969179599e-003	-1.355016127e-002			
5.457460849e-003	4.307662054e-002			5.457460849e-003	-7.258888751e-004			5.457460849e-003	8.201413401e-003			
5.945742099e-003	1.515437897e-002			5.945742099e-003	-4.960240647e-003			5.945742099e-003	3.233020935e-002			
6.434023349e-003	-5.596380896e-002			6.434023349e-003	-4.028683257e-002			6.434023349e-003	1.188610638e-002			
6.922304599e-003	-9.319346438e-002			6.922304599e-003	-9.315573897e-003			6.922304599e-003	-1.164838425e-002			
7.410585849e-003	-9.868245204e-002			7.410585849e-003	-1.536464786e-002			7.410585849e-003	-3.969959530e-002			
7.898867099e-003	-1.754089534e-002			7.898867099e-003	-1.488072194e-002			7.898867099e-003	-3.102273765e-002			
8.387148349e-003	2.505842192e-002			8.387148349e-003	7.984777626e-003			8.387148349e-003	-1.069749574e-002			
8.875429599e-003	9.546065494e-004			8.875429599e-003	-1.971998111e-002			8.875429599e-003	6.061914253e-003			
9.363710849e-003	-6.718043591e-002			9.363710849e-003	-4.113370292e-002			9.363710849e-003	-2.971526594e-003			
9.851992099e-003	-9.999503605e-002			9.851992099e-003	-1.173520348e-002			9.851992099e-003	-2.864551637e-002			
1.034027335e-002	-7.076021047e-002			1.034027335e-002	-2.613199950e-002			1.034027335e-002	-2.163271361e-002			
1.082855460e-002	-3.341122923e-002			1.082855460e-002	2.540611063e-003			1.082855460e-002	-5.907394870e-002			
1.131683585e-002	1.849550189e-002			1.131683585e-002	8.347722064e-003			1.131683585e-002	-3.328109786e-002			
1.180511710e-002	-1.909213099e-003			1.180511710e-002	-9.194592418e-003			1.180511710e-002	-1.236155063e-002			
1.229339835e-002	-6.741908755e-002			1.229339835e-002	-3.629444376e-004			1.229339835e-002	-2.270246318e-002			
1.278167960e-002	-9.510267748e-002			1.278167960e-002	-2.455924028e-002			1.278167960e-002	-2.710032254e-002			
1.326996085e-002	-4.450853036e-002			1.326996085e-002	-1.415483306e-002			1.326996085e-002	-2.080068616e-002			
